state,value
Wyoming,0.123
Wisconsin,0.588235294
West Virginia,1.176470588
Washington,1.764705882
Virginia,2.352941176
Virgin Islands,2.941176471
Vermont,3.529411765
Utah,4.117647059
Texas,4.705882353
Tennessee,5.294117647
South Dakota,5.882352941
South Carolina,6.470588235
Rhode Island,7.058823529
Puerto Rico,7.647058824
Pennsylvania,8.235294118
Oregon,8.823529412
Oklahoma,9.411764706
Ohio,10
North Dakota,10.58823529
North Carolina,11.17647059
New York,11.76470588
New Mexico,12.35294118
New Jersey,12.94117647
New Hampshire,13.52941176
Nevada,14.11764706
Nebraska,14.70588235
Montana,15.29411765
Missouri,15.88235294
Mississippi,16.47058824
Minnesota,17.05882353
Michigan,17.64705882
Massachusetts,18.23529412
Maryland,18.82352941
Maine,19.41176471
Louisiana,20
Kentucky,20.58823529
Kansas,21.17647059
Iowa,21.76470588
Indiana,22.35294118
Illinois,22.94117647
Idaho,23.52941176
Hawaii,24.11764706
Georgia,24.70588235
Florida,25.29411765
Delaware,25.88235294
DC,26.47058824
Connecticut,27.05882353
Colorado,27.64705882
California,28.23529412
Arkansas,28.82352941
Arizona,29.41176471
Alabama,30
